"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 18 18:26:15 IST 2023","Fri Aug 18 18:26:15 IST 2023","8","chromium","","","","","Demographic information of Patient9 :",""
"skipped","Fri Aug 18 18:26:15 IST 2023","Fri Aug 18 18:26:15 IST 2023","6","chromium","","","","","Demographic information of Patient4 :",""
"skipped","Fri Aug 18 18:26:15 IST 2023","Fri Aug 18 18:26:15 IST 2023","2","chromium","","","","","Demographic information of Patient8 :",""
"skipped","Fri Aug 18 18:26:15 IST 2023","Fri Aug 18 18:26:15 IST 2023","2","chromium","","","","","Demographic information of Patient5 :",""
"failed","Fri Aug 18 18:25:30 IST 2023","Fri Aug 18 18:26:12 IST 2023","42722","chromium","","","","","Demographic information of Patient2 :",""
"skipped","Fri Aug 18 18:26:15 IST 2023","Fri Aug 18 18:26:15 IST 2023","3","chromium","","","","","Demographic information of Patient7 :",""
"skipped","Fri Aug 18 18:26:15 IST 2023","Fri Aug 18 18:26:15 IST 2023","5","chromium","","","","","Demographic information of Patient6 :",""
"passed","Fri Aug 18 18:24:39 IST 2023","Fri Aug 18 18:25:30 IST 2023","50510","chromium","","","","","Demographic information of Patient1 :",""
"skipped","Fri Aug 18 18:26:15 IST 2023","Fri Aug 18 18:26:15 IST 2023","4","chromium","","","","","Demographic information of Patient10 :",""
"skipped","Fri Aug 18 18:26:15 IST 2023","Fri Aug 18 18:26:15 IST 2023","4","chromium","","","","","Demographic information of Patient3 :",""
